,Time,Cell,Actb,Bmi1,Bmp4,Bmp7,Bmpr1a,Cd34,Cdh1,Cdh2,Cdk2,Cdx2,Cldn6,Ctcf,Ctnnb1,Dnmt1,Dnmt3b,Dppa3,Dppa4,Eomes,Esrrb,Ezh2,Fbxo15,Fgf4,Fgf5,Fgfr2,Foxa2,Gapdh,Gata1,Gata4,Gata6,Gdf3,GFAP,Gli2,Grb2,Gsc,Gsk3b,Hand1,Hdac1,Hes1,Igf2,Isl1,Jag1,Jarid2,Kdm1a,Kdm4c,Klf4,Lif,Lifr,Lin28a,Mbd3,MBP,Mef2a,Mixl1,Mki67ip,Myc,Myst3,Nanog,Ncam1,Nestin,Notch1,Nr0b1,Nr5a2,Nr6a1,Olig1,Olig2,Otx2,Pax6,Pou5f1,Prmt6,Prmt7,Ptpn11,Rai1,Rcc1,Rest,Sall4,Setdb1,Smad1,Smarca4,Smarcc1,Socs3,Sox1,Sox2,Stat3,T,Tbx3,Tcf7l1,Tcl1,Tgm2,Trp53,Tubb3,Utf1,Vim,Wdr5,Wnt3a,Wnt5a,Zfp281,Zfp42,State
E14tg2a.0h.3F,0,E14,16.58342155,9.41931266,11.67264623,0.0,10.12164007,0.0,10.0329135,8.46948051,14.45164287,0.0,11.04556155,11.72987636,15.56302918,14.5302032,14.60820075,1.51345319,9.9844437,0.0,13.21829234,8.79513998,14.66234541,14.94748382,0.0,0.0,0.0,19.16911562,7.74909283,0.0,0.0,13.16676969,0.0,8.07491627,9.6723954,0.0,0.0,0.0,14.41780007,0.0,0.0,0.0,0.0,10.84134927,15.26307151,11.44200719,14.84436374,0.0,10.67852692,12.12570808,12.48938838,0.0,11.72019398,0.0,9.097764199999999,10.82040612,10.97748545,11.4420288,0.0,0.0,0.0,13.91987386,10.00185903,0.0,0.0,0.0,8.180100099999999,0.0,14.15146273,0.0,11.27458408,11.89305406,0.0,9.04325788,14.86597619,13.07226324,11.18829625,12.03644405,0.0,13.44663855,9.94210605,0.0,0.0,13.91244025,0.0,14.213545499999999,14.12749702,10.20679868,0.0,12.88972398,13.677015099999998,9.56063712,15.45913292,13.50904052,0.0,0.0,14.26619547,15.50034614,0
E14tg2a.0h.3H,0,E14,17.20632091,8.99661847,13.8602131,0.0,9.91271769,0.0,0.0,0.0,12.95824484,0.0,0.0,14.09412626,15.24754496,15.04458349,15.70996282,9.16030922,11.79606481,0.0,13.77002093,10.2471575,14.2227867,14.70684516,0.0,0.0,0.0,19.84365475,0.0,0.0,0.0,14.86528171,0.0,7.90790277,11.32623186,0.0,9.27143898,0.0,15.96386728,6.13761187,0.0,8.01375684,0.0,14.47052906,15.62765275,12.86572513,11.29349966,0.0,11.46436796,12.19396009,15.08057731,0.0,0.0,0.0,11.35956473,12.91589602,13.40028647,13.88927448,0.0,0.0,8.83290889,12.15146854,12.50949763,0.0,0.0,0.0,0.0,0.0,14.52330323,0.0,11.44513338,11.71487333,0.0,12.66748868,15.57237273,14.75708461,9.41252505,10.88876742,0.0,14.01211239,12.19590348,0.0,9.80112061,14.48537354,0.0,13.78442308,14.33778215,0.0,0.0,14.56029986,13.75816039,13.09998744,16.16953878,14.229548499999998,0.0,0.0,14.94048219,16.6761911,0
E14tg2a.0h.4A,0,E14,17.24866305,9.5297284,12.65268018,0.0,11.18879278,0.0,0.0,8.40603776,13.96363957,0.0,9.61184254,14.34646131,15.73081471,15.58353189,16.37059411,0.0,10.53190723,8.84247246,11.79465268,10.4584369,14.26285621,13.37252892,0.0,0.0,0.0,20.050109670999998,7.74127655,0.0,0.0,15.11466263,0.0,3.10169238,10.45759091,0.0,10.25535126,0.0,15.70168531,0.0,0.0,0.0,0.0,14.34385587,15.41002667,11.39013633,13.75090656,0.0,11.62410317,12.42815234,13.43038405,0.0,0.0,0.0,10.81020667,15.05553172,12.30235716,13.51731773,0.0,7.31059829,8.19603208,11.91644521,5.14561773,0.0,0.0,0.0,10.76203962,0.0,12.13276491,0.0,12.0218417,11.47775882,9.65169092,12.86908756,15.64316377,15.37490607,11.66709105,11.18894323,0.0,14.44522743,11.97904563,0.0,8.52554858,13.60778969,0.0,13.58213934,13.80528761,0.0,0.0,9.18152433,13.7638437,0.0,16.61320083,13.80302129,0.0,0.0,14.79835341,16.80810287,0
E14tg2a.0h.4C,0,E14,17.38914492,8.09928085,13.52061217,0.0,9.84706352,0.0,6.13795319,0.0,12.76120952,0.0,0.0,14.66425344,15.58925535,15.23599154,15.28336129,0.0,11.11491297,9.93494758,13.96518227,9.65286981,14.56983627,13.95237465,0.0,0.0,0.0,19.847775549,0.0,0.0,8.810946000000001,14.54850934,0.0,9.94305088,7.57194594,0.0,8.94481561,0.0,15.24025757,6.27699021,0.0,0.0,0.0,13.73938568,15.64358206,11.49082045,11.70887901,0.0,12.11568062,13.11986142,14.43346773,0.0,0.0,0.0,12.72071937,12.23539565,11.91577271,13.40232263,0.0,0.0,7.87939763,13.02215051,11.5627618,0.0,0.0,0.0,10.58511164,0.0,13.14231356,0.0,10.8312159,10.97469741,0.0,12.50796184,14.76699782,13.80079043,10.69747029,11.26933381,0.0,14.22708887,12.96129195,0.0,0.0,14.48756465,0.0,12.83994496,13.98971758,12.00652186,0.0,14.15753828,14.27477249,11.88951984,16.18543642,13.8679763,0.0,0.0,14.27594387,16.71879578,0
E14tg2a.0h.4D,0,E14,17.52552188,9.87810795,14.17836736,0.0,8.01102503,0.0,0.0,7.25978211,13.90442892,0.0,9.06217124,14.70191063,15.89063432,14.95571663,15.73589405,0.0,11.67883666,0.0,14.42919182,10.20716003,15.32177414,13.76206532,0.0,0.0,8.01803893,19.623268517,0.0,0.0,0.0,14.82985191,0.0,8.14172114,12.98100215,0.0,4.84169783,0.0,0.0,8.21168937,0.0,0.0,0.0,14.41569436,15.670197400000001,12.17592701,12.76489117,0.0,11.42267757,12.56396159,14.31477351,0.0,9.90073289,0.0,11.14836503,13.63141134,12.85177711,13.74520449,0.0,0.0,0.0,10.96888941,12.03926943,8.37911585,0.0,0.0,0.0,0.0,14.50463119,0.0,10.37260294,11.21212164,0.0,10.58585352,14.99290394,14.94717371,10.51168927,8.98317086,0.0,14.4026598,11.94361564,0.0,10.84577185,14.43281424,0.0,13.11882019,14.11233453,0.0,0.0,14.55438084,11.09693301,12.82984555,16.19705332,12.78829954,11.07352083,0.0,14.57532934,16.66431893,0
E14tg2a.0h.4E,0,E14,16.72927621,0.0,10.94723727,0.0,9.74648875,0.0,0.0,0.0,12.31032116,0.0,0.0,13.06500666,15.21585133,15.23514943,14.40464294,8.95656765,8.87430799,0.0,12.00930908,10.6754239,13.87860883,14.19934064,0.0,0.0,0.0,19.115867297,0.0,0.0,0.0,13.41909343,0.0,0.0,9.47295814,0.0,0.0,0.0,15.04284466,7.26501533,0.0,0.0,0.0,13.42689099,15.43769695,10.30508742,14.77410711,7.69645828,9.10883727,11.53886287,14.45724246,0.0,9.90147,0.0,11.8187299,9.92975505,9.78793235,14.36137522,0.0,6.85779876,7.704019000000001,10.80973946,10.90025455,7.50361457,0.0,0.0,0.0,0.0,13.25411039,0.0,11.75058124,12.17798038,9.68764598,11.96536262,14.80240516,13.48015855,10.06301909,0.0,0.0,13.77342685,10.69102756,0.0,9.84446011,11.84633871,0.0,12.94622861,12.90468426,0.0,0.0,14.26839814,10.24018761,12.54413048,10.30035524,13.15711339,0.0,0.0,13.70847124,16.58596012,0
E14tg2a.0h.4F,0,E14,16.76011,10.1720453,13.01101782,0.0,0.0,0.0,0.0,8.4810698,13.88615546,0.0,0.0,14.47685586,15.30078386,15.53299423,16.44354499,9.31419705,11.34897152,10.69523049,12.44197421,8.98689003,14.79222515,13.91169548,0.0,0.0,0.0,19.371016979,0.0,0.0,0.0,14.2811829,0.0,0.0,12.46673395,0.0,0.0,0.0,15.91856329,0.0,0.0,0.0,11.29832925,14.35979745,15.91523261,10.84720269,12.77610276,0.0,12.20330999,13.40662323,14.69070919,0.0,0.0,0.0,12.53993755,9.61775203,13.00094084,13.84161126,0.0,0.0,8.22181983,13.25691623,11.14266233,6.90245626,0.0,0.0,8.96056513,0.0,13.60909619,7.97779459,11.19199274,12.01804594,0.0,12.48623172,15.50961774,14.93909348,11.64473476,11.01913964,0.0,14.377228599999999,12.79748339,0.0,11.60711724,14.0788983,0.0,12.85043753,14.09844059,0.0,0.0,14.03520899,13.66068672,11.01325983,17.59902925,13.92277809,0.0,0.0,14.67032102,15.70238349,0
E14tg2a.0h.4H,0,E14,15.4358536,10.19189999,9.44669064,0.0,11.87067698,0.0,0.0,10.03126837,13.32198095,0.0,0.0,14.02619045,15.47512331,14.39595413,12.36038994,0.0,10.28965549,9.55052133,13.61376667,9.94628448,13.17827832,13.85025043,0.0,0.0,0.0,17.995919031,0.0,0.0,0.0,13.55048512,0.0,9.68230966,12.45867417,0.0,0.0,0.0,14.45037396,0.0,9.66291503,0.0,12.2929719,14.00214546,15.99473777,9.5658694,13.25979653,9.92332433,10.19599354,9.32166492,14.66294818,0.0,0.0,0.0,11.77375154,13.46822079,13.23939933,13.52797299,0.0,6.53578433,9.06288391,12.99299723,11.90635025,0.0,0.0,0.0,0.0,0.0,13.57504723,8.23500256,11.12215598,13.82870734,9.60848437,11.1488595,15.24528965,13.25819953,10.330902499999999,11.22602408,0.0,13.85883374,0.0,0.0,0.0,11.7498543,0.0,13.92960934,14.45469932,9.30537004,0.0,13.99654067,12.34330619,12.060227000000001,13.74922284,14.20851635,0.0,0.0,14.25690625,17.81504535,0
E14tg2a.0h.5A,0,E14,16.89426648,8.82544607,12.95897983,0.0,0.0,0.0,0.0,0.0,14.151844699999998,0.0,0.0,14.18947254,15.54009372,14.89314051,14.42500276,0.0,11.80442864,0.0,12.74573741,10.28779257,14.922101699999999,14.68769596,0.0,0.0,0.0,20.113186051,7.86591442,0.0,0.0,15.21262339,0.0,10.71907769,10.77310761,0.0,0.0,0.0,16.00391693,0.0,0.0,0.0,10.59312554,14.66908468,15.72097169,11.77874567,12.81458715,0.0,11.99514122,13.28416774,14.24471982,0.0,0.0,0.0,11.77455396,13.05073746,12.185673199999998,12.61435307,0.0,0.0,8.50513265,12.91112147,12.22791312,6.50901352,0.0,0.0,9.11307791,0.0,13.74605963,8.1457794,11.02469036,12.76328679,7.74214121,12.62912552,15.3852579,14.66030096,10.72996355,10.32406973,0.0,14.44017471,12.41010108,0.0,9.75029512,13.052183900000001,0.0,13.4539805,14.67293591,8.88506962,0.0,13.3130174,12.32648409,4.45194715,16.28399122,14.13383132,0.0,0.0,13.89198132,16.196124800000003,0
E14tg2a.0h.5B,0,E14,15.88666922,8.9209668,13.47402472,0.0,10.25339816,0.0,0.0,0.0,13.42845924,0.0,9.62512002,14.02981433,15.75053269,15.68386842,15.69650456,0.0,12.66028646,10.6761391,12.82390083,11.09607179,14.15919853,13.22034537,0.0,0.0,0.0,20.038207443,0.0,0.0,0.0,15.22246363,0.0,6.67601613,12.4578963,0.0,8.44490421,0.0,16.47449947,0.0,0.0,0.0,0.0,13.19632753,15.73669119,10.77782546,12.516847199999999,0.0,11.86298888,13.6035911,14.02884785,0.0,10.00516322,0.0,12.08198686,14.49934113,11.81219176,13.08806667,0.0,7.31428042,0.0,13.93079923,8.07708737,5.83335319,0.0,0.0,9.39178964,0.0,13.02253449,0.0,11.14139121,10.54363503,0.0,11.20016384,15.84671198,14.40547784,11.05394141,10.24502336,0.0,15.06283046,11.82985169,0.0,10.5279389,13.370038699999998,0.0,12.98357761,13.42433925,9.85074714,0.0,11.77198987,14.39742295,2.00867042,16.67516341,13.961882999999998,0.0,0.0,14.72528495,16.85229428,0
E14tg2a.0h.5C,0,E14,17.02744466,7.43943066,10.57807319,0.0,9.88620306,0.0,0.0,0.0,13.37222605,0.0,0.0,13.501938399999998,15.14041238,14.396437300000002,15.7312179,0.0,10.69736241,0.0,13.19321545,10.3318351,15.13676432,13.39142582,0.0,0.0,8.76440221,19.924610815,0.0,0.0,0.0,13.09123112,0.0,0.0,10.65183961,0.0,0.0,0.0,15.80066803,6.82567475,0.0,0.0,0.0,14.37390515,15.91535231,11.41142922,13.09528069,0.0,11.67420771,13.11954712,14.45792802,0.0,0.0,0.0,11.26753019,12.34696662,11.34120823,12.05650684,0.0,0.0,7.94737778,11.80436718,12.09113079,0.0,0.0,0.0,10.40253833,0.0,13.41964331,0.0,11.42913549,12.43104401,0.0,10.79792732,15.0694842,14.32384868,10.29041508,9.98637869,0.0,13.88229799,11.82683714,0.0,12.03212687,12.794113900000001,0.0,11.2353128,13.65599881,0.0,0.0,13.61101617,14.35252218,11.86528502,16.85187595,13.45025998,0.0,0.0,14.7508853,16.28160144,0
E14tg2a.0h.5D,0,E14,17.03972459,0.0,9.0045855,0.0,0.0,0.0,0.0,0.0,13.25604585,0.0,0.0,12.58017652,15.24832303,14.09938229,15.02778755,0.0,10.84037393,9.30770291,11.53326135,11.25139384,13.24939157,13.03988334,0.0,8.92459447,0.0,19.142294256,0.0,0.0,0.0,14.01636458,0.0,0.0,10.33134231,0.0,0.0,0.0,15.73223924,0.0,0.0,0.0,9.9771351,12.97676575,15.13019083,0.0,12.06666443,0.0,11.40410421,12.43561343,13.71916915,0.0,9.61229046,0.0,8.98869442,10.63306374,11.95649065,11.85595442,0.0,7.12207068,8.8182812,12.57869422,11.551656199999998,0.0,0.0,0.0,10.42410476,0.0,12.87751506,0.0,11.04865497,12.47385473,0.0,12.13225282,14.55672495,13.69342593,9.82574917,10.954103300000002,0.0,13.65928513,11.8065429,0.0,11.26271569,12.64425771,0.0,10.62155806,13.74590409,9.07939389,0.0,12.93648222,0.0,9.20205833,16.93881748,13.09707088,0.0,0.0,13.98677501,15.55922988,0
E14tg2a.0h.5E,0,E14,17.25611959,8.49787073,11.031458599999999,0.0,9.82974534,0.0,0.0,0.0,12.28467458,0.0,0.0,13.75478611,15.420806400000002,15.21598485,15.35869599,0.0,9.7998588,10.36856585,12.76075925,10.05454338,15.04278614,14.239051000000002,0.0,8.27663108,0.0,20.171020044000002,0.0,9.20063927,0.0,14.47256361,0.0,10.97975481,11.20873628,0.0,9.23412152,0.0,15.49618632,7.64518445,0.0,0.0,10.05543983,13.412247400000002,15.76141585,11.34493033,13.26013259,0.0,12.05901879,12.39819873,14.99977867,0.0,11.47369669,0.0,11.24322176,10.71184624,12.80375042,13.42765436,9.46278306,8.28943937,8.78266104,13.2729674,12.20763571,0.0,0.0,0.0,0.0,0.0,14.16510104,0.0,10.57803797,11.15993841,0.0,12.30430893,15.51191315,14.97457731,11.31626737,11.18369157,0.0,14.15785729,12.3869375,0.0,11.46783565,14.31008731,0.0,13.07264444,14.75082326,9.40426596,0.0,14.48942901,13.90474205,13.75388806,16.09746555,14.62478963,0.0,0.0,14.05834173,16.27422362,1
E14tg2a.0h.5F,0,E14,16.71478831,10.17978137,11.825989100000001,0.0,9.81006943,0.0,0.0,0.0,13.07245544,0.0,0.0,13.51493828,14.8898018,15.025140799999999,15.51261728,0.0,10.95321296,11.07332067,13.71045367,10.45553461,14.1244049,13.65823297,0.0,0.0,8.2845211,19.427903818,0.0,0.0,0.0,14.80654813,0.0,9.14904612,11.29934383,0.0,0.0,0.0,15.5852269,0.0,0.0,0.0,0.0,14.37357374,15.2364508,11.271802800000001,13.78936592,0.0,11.83097592,12.41877372,14.19910846,0.0,0.0,0.0,9.5125344,14.0423744,11.86964869,13.85814141,0.0,0.0,0.0,13.13646549,11.0223834,8.88709407,0.0,0.0,0.0,0.0,13.39305164,0.0,12.49995974,12.56692217,0.0,12.70998356,15.29213013,13.61068231,10.23632845,9.81332755,0.0,13.88812914,10.35044158,0.0,10.86923806,13.132686999999999,0.0,11.86489929,13.38467211,0.0,9.84213421,13.49427968,13.82063806,6.06289764,15.92531143,12.82789254,0.0,0.0,14.28318067,16.11744956,0
